id,lat,lon,type,description
1,40.67207207,-74.07683509,H,port of New Jersey
2,40.68485579,-74.00869991,H,port of New York
3,40.67349348,-74.15497108,H,port of Newark
4,29.60923117,-95.00737638,H,port of Houston
5,33.75860489,-118.2127977,H,port of Long Beach
6,33.73531463,-118.2552421,H,port of Los Angeles
7,32.84007116,-79.9367473,H,port of Charleston
8,32.12201827,-81.13844044,H,port of Savannah
9,30.71714525,-88.04401243,H,port of Mobile
10,29.91253381,-90.11318014,H,port of New Orleans
11,27.82598395,-97.44192682,H,port of Corpus Christi
12,30.07923188,-94.08854623,H,port of Beaumont
13,47.59516693,-122.3389754,H,port of Seattle
14,37.80909116,-122.3286913,H,port of Oakland
15,36.91007314,-76.32435726,H,port of Hampton Roads
16,25.76897451,-80.15705022,H,port of Miami
17,42.34065527,-71.02298692,H,port of Boston
18,39.25702626,-76.54660955,H,port of Baltimore
19,27.86273702,-82.54107259,H,port of Tempa Bay
20,39.98247391,-75.08077527,H,port of Philadelphia
21,42.70602616,-73.7173574,H,Albany FedEx Ship Center
22,37.64687177,-77.40132576,H,Richmond FedEx Ship Center
23,35.1930922,-80.79336898,H,Charlotte FedEx Ship Center
24,33.74349457,-84.39895018,H,Atlanta FedEx Ship Center
25,28.55804841,-81.33472615,H,Orlando FedEx Ship Center
26,41.41510711,-81.50342906,H,Cleveland FedEx Ship Center
27,40.45970099,-79.96707093,H,Pittsburgh FedEx Ship Center
28,40.01863272,-82.92038232,H,Columbus FedEx Ship Center
29,38.40762036,-81.8075002,H,Charleston FedEx Ground
30,42.37355567,-83.4209303,H,Detroit FedEx Ground
31,39.80033674,-86.09926586,H,Indianapolis FedEx Ground
32,38.32869992,-85.67766748,H,Louisville FedEx Ground
33,36.23856933,-86.79403252,H,Nashville FedEx Ground
34,33.55233317,-86.65776888,H,Birmingham FedEx Ground
35,43.00522871,-88.12156609,H,Milwaukee FedEx Ground
36,38.80551559,-90.59817038,H,St. Louis FedEx Ground
37,35.06720994,-89.96054792,H,Memphes FedEx World Hub
38,32.2503595,-90.09005611,H,Jackson FedEx Ground
